Date,Name,Icon,Type,Quantity,Units,Calories,Deleted,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
04/30/2020,Clementines,Orange,Snacks,3.0,Pieces,120,0,1.50,3,30,0,21,6,0,3
04/30/2020,Ghiardelli,Chocolate,Snacks,2.0,Pieces,93,0,5.33,0.67,12,3.33,9.33,1.33,3,43.33
04/30/2020,Andes Candy,Chocolate,Snacks,1.0,Piece,25,0,1.63,n/a,2.75,1.38,2.50,0.6,0,2.50
04/30/2020,Extra Dark Chocolate Chips,ChocolateChips,Snacks,15.0,Grams,80,0,5,1,8,3,6,3,0,0
04/29/2020,"Orange, Medium",Orange,Breakfast,0.2,Each,12,0,0.3,0.25,3.8,0,2.45,0.63,0,0
04/29/2020,Chia pudding,Recipe,Breakfast,1.0,Serving,106,0,3.17,13.33,5.50,0.58,0.50,3.33,15,31.67
04/29/2020,"Sugar, Granulated",SugarWhite,Breakfast,1.0,Teaspoon,16,0,0,0,4.20,0,4.19,0,0,0.4
04/29/2020,Jjajang 04/25/2020,Recipe,Lunch,1.0,Serving,208,0,11.4,16.38,11.37,3.56,7.53,3.68,46.67,77.19
04/29/2020,"Rice, Steamed White, Prepared",Rice,Lunch,0.5,Cup,100,0,0.18,2.10,22.36,0,0,0.60,0,3.50
04/29/2020,Kakdugi jjigae,Recipe,Lunch,1.0,Serving,80,0,4.40,6.27,4.38,1.37,2.83,1.49,17.50,148.79
04/29/2020,"Apple, Honeycrisp, Small",Apple,Lunch,8.0,Ounces,113,0,0.36,0.53,29.31,0,n/a,5.24,0,2.14
04/29/2020,Jjajang 04/25/2020,Recipe,Dinner,0.5,Serving,104,0,5.52,8.19,5.68,1.78,3.76,1.84,23.33,38.59
04/29/2020,"Rice, Steamed White, Prepared",Rice,Dinner,0.5,Cup,100,0,0.18,2.10,22.36,0,0,0.60,0,3.50
04/29/2020,"Egg, Large",Egg,Dinner,2.0,Each,143,0,9.51,12.56,0.72,3.13,0.37,0,372,142
04/29/2020,"Onion, Yellow, Whole, Small",Onion,Dinner,0.33,Each,9,0,0.2,0.25,2.16,0.1,0.98,0.39,0,0.92
04/29/2020,"Scallions, Chopped, Organic",Leeks,Dinner,0.5,Cup,20,0,0,0,4,0,2,2,0,20
04/29/2020,"Oil, Canola",Oil,Dinner,1.0,Teaspoon,40,0,4.67,0,0,0.33,0,0,0,0
04/29/2020,"Peanut Butter, Chunky",PeanutButter,Dinner,0.5,Tablespoon,47,0,4,1.92,1.73,0.65,0.67,0.64,0,38.88
04/29/2020,"Pancetta, Uncured",Bacon,Dinner,0.55,Ounce,56,0,5.1,2.23,0,2.23,n/a,n/a,11.14,256.16
04/29/2020,Kambocha Squah,Squash,Dinner,2.0,Cups,79,0,0.40,2.20,20,0,5.20,3.40,0,9.20
04/29/2020,"Carrots, Chopped",Carrot,Dinner,0.5,Cup,26,0,0.15,0.60,6.13,0.2,3.3,1.79,0,44.16
04/29/2020,"Butter, Unsalted, Stick",Butter,Dinner,0.33,Tablespoon,33,0,3.63,0,0,2.31,0,0,9.90,0
04/29/2020,"Cheese, Cabrales (cow milk)",Cheese,Dinner,0.6666,Ounce,69,0,5.67,4.41,0.63,3.15,0,0,18.90,125.98
04/29/2020,"Cucumber, Persian Organic",Cucumber,Dinner,2.0,Each,11,0,0,0,1.78,n/a,n/a,0.89,n/a,n/a
04/29/2020,"Peppers, Bell, Red, Medium, 2 3/4"" x 2 1/2""",BellPepperRed,Dinner,0.33,Each,12,0,0.12,0.39,2.37,0.1,1.65,0.82,0,1.57
04/29/2020,"Shallot, Raw",Shallot,Dinner,1.0,Tablespoon,7,0,0.1,0.25,1.68,0,0,0,0,1.20
04/29/2020,"Wine, White, Medium Dry Style",WineWhite,Dinner,1.0,Tablespoon,10,0,0,0.3,0.17,0,0.17,0,0,3.60
04/29/2020,Clementines,Orange,Snacks,2.0,Pieces,80,0,1,2,20,0,14,4,0,2
04/29/2020,"Cashews, Whole, Raw",Cashew,Snacks,17.0,Pieces,152,0,12.53,4.47,8.5,2.24,1.79,6.26,0,4.47
04/29/2020,Ghiardelli,Chocolate,Snacks,2.0,Pieces,93,0,5.33,0.67,12,3.33,9.33,1.33,3,43.33
04/29/2020,Baked rice cake bar,Recipe,Snacks,1.0,Serving,114,0,3.33,2.60,18.56,0.53,8.14,0.65,0.78,13.56
04/29/2020,"Soup, Miso",Soup,Snacks,0.3,Cup,21,0,0.60,1.50,2.70,0.12,0,0.90,0,216.30
04/29/2020,Protein powder rice cake bars,Recipe,Snacks,1.0,Serving,92,0,3.14,3.44,12.59,0.42,5.5,0.65,1.88,12.31
04/29/2020,Bulgarian Yogurt,Yogurt,Snacks,0.33,Cup,46,0,2.64,4.29,1.65,1.49,1.65,0,8.25,52.80
04/29/2020,Prickly Pear,Fig,Snacks,0.25,Cup,15,0,0.19,0.27,3.56,0.2,0,1.34,0,1.86
04/29/2020,"Sugar, Granulated",SugarWhite,Snacks,1.0,Teaspoon,16,0,0,0,4.20,0,4.19,0,0,0.4
04/29/2020,Extra Dark Chocolate Chips,ChocolateChips,Snacks,15.0,Grams,80,0,5,1,8,3,6,3,0,0
